Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
538848,22633,HAND WARMER UNION JACK,9,2026-03-08 06:42:00,2.48,12305,UK
538849,71053,WHITE METAL LANTERN,43,2026-03-09 02:52:00,1.55,12435,Italy
538850,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-03-17 14:11:00,7.76,14371,UK
538851,71053,WHITE METAL LANTERN,30,2026-03-05 01:51:00,3.84,13988,Spain
538852,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,2026-03-10 12:00:00,1.34,14737,France
538853,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-03-21 12:30:00,5.69,14905,UK
538854,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2026-03-09 05:16:00,9.56,17468,France
538855,71053,WHITE METAL LANTERN,47,2026-03-24 14:36:00,7.23,13592,Germany
538856,71053,WHITE METAL LANTERN,1,2026-03-14 10:12:00,7.46,15691,Spain
538857,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-03-04 06:43:00,4.43,16582,France
538858,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2026-03-25 08:47:00,2.01,14915,UK
538859,71053,WHITE METAL LANTERN,31,2026-03-12 02:28:00,2.66,12245,Italy
538860,22633,HAND WARMER UNION JACK,11,2026-03-24 00:36:00,4.22,15971,Spain
538861,84406B,CREAM CUPID HEARTS COAT HANGER,36,2026-03-06 02:04:00,7.74,12181,France
538862,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2026-03-07 05:47:00,4.56,15767,Italy
538863,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-03-20 01:16:00,4.98,12601,France
538864,85123A,WHITE HANGING HEART T-LIGHT HOLDER,29,2026-03-19 14:24:00,9.19,16355,Italy
538865,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2026-03-23 16:28:00,8.55,14591,Spain
538866,22633,HAND WARMER UNION JACK,34,2026-03-07 18:23:00,2.53,14399,Spain
538867,71053,WHITE METAL LANTERN,35,2026-03-14 18:18:00,2.49,12157,Germany
538868,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-03-10 04:42:00,8.42,14155,Spain
538869,22633,HAND WARMER UNION JACK,10,2026-03-22 01:47:00,8.77,15095,Germany
538870,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,2026-03-23 09:24:00,3.54,14618,Spain
538871,71053,WHITE METAL LANTERN,24,2026-03-05 08:39:00,4.76,12718,Germany
538872,71053,WHITE METAL LANTERN,31,2026-03-17 23:54:00,6.83,15917,Italy
538873,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2026-03-25 16:08:00,3.38,12268,Spain
538874,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-03-08 17:10:00,4.9,12308,Italy
538875,71053,WHITE METAL LANTERN,47,2026-03-15 12:47:00,3.04,14697,Italy
538876,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2026-03-20 06:09:00,9.83,12099,UK
538877,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2026-03-08 08:34:00,6.66,17175,UK
538878,22633,HAND WARMER UNION JACK,19,2026-03-09 06:53:00,8.5,17475,Spain
538879,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-03-15 02:15:00,7.65,15068,France
538880,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2026-03-09 20:45:00,1.63,17784,France
538881,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-03-21 13:57:00,9.29,15914,Italy
538882,22633,HAND WARMER UNION JACK,43,2026-03-18 18:52:00,5.28,16346,France
538883,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-03-12 11:39:00,7.05,16986,Italy
538884,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-03-11 00:20:00,9.56,12835,France
538885,71053,WHITE METAL LANTERN,46,2026-03-08 04:45:00,3.27,15946,Spain
538886,71053,WHITE METAL LANTERN,31,2026-03-20 19:46:00,5.26,13682,UK
538887,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,46,2026-03-22 11:09:00,4.57,15058,Spain
538888,84406B,CREAM CUPID HEARTS COAT HANGER,23,2026-03-25 02:08:00,3.38,13767,Germany
538889,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2026-03-22 19:02:00,2.45,14705,Spain
538890,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-03-08 09:06:00,6.41,12161,UK
538891,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-03-11 18:40:00,5.53,14395,France
538892,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-03-04 20:11:00,6.29,14608,France
538893,84406B,CREAM CUPID HEARTS COAT HANGER,10,2026-03-15 11:06:00,7.44,14507,Italy
538894,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-03-14 05:46:00,1.5,16520,Spain
538895,22633,HAND WARMER UNION JACK,18,2026-03-14 20:57:00,9.0,14415,Germany
538896,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-03-10 23:06:00,2.12,12391,France
538897,84406B,CREAM CUPID HEARTS COAT HANGER,25,2026-03-24 21:13:00,9.57,13578,France
538898,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2026-03-21 16:24:00,1.31,14858,Italy
538899,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2026-03-09 08:15:00,4.89,17351,Spain
538900,85123A,WHITE HANGING HEART T-LIGHT HOLDER,39,2026-03-24 19:10:00,8.32,12446,Italy
538901,22633,HAND WARMER UNION JACK,34,2026-03-13 20:01:00,7.38,14283,UK
538902,22633,HAND WARMER UNION JACK,40,2026-03-20 14:28:00,3.7,14067,Germany
538903,84406B,CREAM CUPID HEARTS COAT HANGER,48,2026-03-04 00:39:00,4.41,14448,Germany
538904,85123A,WHITE HANGING HEART T-LIGHT HOLDER,47,2026-03-13 21:22:00,3.61,16087,Spain
538905,71053,WHITE METAL LANTERN,1,2026-03-01 13:25:00,7.03,17806,UK
538906,71053,WHITE METAL LANTERN,33,2026-03-25 00:53:00,8.3,13480,Germany
538907,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2026-03-20 10:07:00,7.24,13341,UK
538908,71053,WHITE METAL LANTERN,14,2026-03-04 18:08:00,1.37,16934,France
538909,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2026-03-11 05:02:00,3.34,15182,Germany
538910,71053,WHITE METAL LANTERN,23,2026-03-09 20:02:00,3.14,14309,France
538911,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-03-16 10:46:00,3.41,14453,France
538912,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2026-03-03 09:06:00,4.23,16508,Spain
538913,84406B,CREAM CUPID HEARTS COAT HANGER,24,2026-03-03 15:01:00,8.09,14547,Germany
538914,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,43,2026-03-21 05:56:00,2.55,12256,Spain
538915,22633,HAND WARMER UNION JACK,34,2026-03-01 19:02:00,8.59,15604,UK
538916,71053,WHITE METAL LANTERN,6,2026-03-18 17:35:00,6.48,14333,Germany
538917,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-03-19 10:33:00,7.87,14224,Spain
538918,22633,HAND WARMER UNION JACK,11,2026-03-15 03:54:00,7.62,13872,Spain
538919,71053,WHITE METAL LANTERN,34,2026-03-05 22:18:00,2.13,12942,Germany
538920,84406B,CREAM CUPID HEARTS COAT HANGER,4,2026-03-05 15:50:00,5.4,16229,Germany
538921,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-03-23 13:00:00,4.6,17073,Italy
538922,84406B,CREAM CUPID HEARTS COAT HANGER,16,2026-03-11 04:05:00,6.12,17543,Spain
538923,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2026-03-10 13:00:00,4.11,14068,Germany
538924,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-03-22 10:26:00,9.7,15549,France
538925,84406B,CREAM CUPID HEARTS COAT HANGER,14,2026-03-23 20:07:00,3.17,17989,Germany
538926,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,2026-03-24 19:07:00,1.92,12403,UK
538927,84406B,CREAM CUPID HEARTS COAT HANGER,32,2026-03-04 20:54:00,8.4,15028,France
538928,84406B,CREAM CUPID HEARTS COAT HANGER,45,2026-03-03 21:41:00,4.38,13574,Italy
538929,84406B,CREAM CUPID HEARTS COAT HANGER,21,2026-03-25 19:46:00,3.19,12996,Italy
538930,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2026-03-01 22:31:00,3.99,16402,Germany
538931,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-03-12 12:40:00,1.12,17491,Italy
538932,84406B,CREAM CUPID HEARTS COAT HANGER,7,2026-03-07 01:18:00,5.76,16564,Italy
538933,22633,HAND WARMER UNION JACK,5,2026-03-09 08:15:00,7.95,17907,Spain
538934,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,34,2026-03-08 08:39:00,4.97,16694,UK
538935,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,35,2026-03-10 01:22:00,3.97,13810,Spain
538936,22633,HAND WARMER UNION JACK,48,2026-03-03 20:56:00,5.51,17956,Italy
538937,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-03-05 04:55:00,3.44,15641,Germany
538938,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,43,2026-03-05 18:40:00,6.84,12808,Italy
538939,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2026-03-15 09:39:00,1.16,13911,Italy
538940,71053,WHITE METAL LANTERN,28,2026-03-03 20:19:00,5.6,12337,Germany
538941,22633,HAND WARMER UNION JACK,18,2026-03-21 20:33:00,9.16,17126,UK
538942,84406B,CREAM CUPID HEARTS COAT HANGER,24,2026-03-13 17:34:00,1.2,14414,UK
538943,84406B,CREAM CUPID HEARTS COAT HANGER,20,2026-03-14 22:51:00,4.19,12283,Germany
538944,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32,2026-03-14 11:19:00,6.64,13945,UK
538945,71053,WHITE METAL LANTERN,19,2026-03-19 20:49:00,2.99,13830,Italy
538946,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-03-03 07:14:00,2.57,13504,France
538947,22633,HAND WARMER UNION JACK,43,2026-03-15 12:33:00,5.95,16153,Germany
538948,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-03-19 01:58:00,4.21,15216,France
538949,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-03-09 17:38:00,6.97,13317,Germany
538950,84406B,CREAM CUPID HEARTS COAT HANGER,28,2026-03-11 19:01:00,6.3,13350,Germany
538951,84406B,CREAM CUPID HEARTS COAT HANGER,13,2026-03-08 18:01:00,7.93,14955,Spain
538952,84406B,CREAM CUPID HEARTS COAT HANGER,44,2026-03-18 17:43:00,7.29,13574,Italy
538953,84406B,CREAM CUPID HEARTS COAT HANGER,24,2026-03-18 07:40:00,7.64,13036,UK
538954,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,50,2026-03-15 22:00:00,8.07,14422,Italy
538955,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2026-03-23 18:38:00,6.58,17781,UK
538956,84406B,CREAM CUPID HEARTS COAT HANGER,1,2026-03-03 19:53:00,2.45,16360,France
538957,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31,2026-03-01 08:20:00,3.4,13814,Spain
538958,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2026-03-14 16:23:00,9.25,16554,Germany
538959,71053,WHITE METAL LANTERN,42,2026-03-10 18:19:00,3.89,12509,Italy
538960,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2026-03-11 13:11:00,8.98,17736,Italy
538961,71053,WHITE METAL LANTERN,19,2026-03-16 12:37:00,2.45,16543,Spain
538962,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,2026-03-15 09:55:00,7.18,13517,UK
538963,71053,WHITE METAL LANTERN,41,2026-03-09 06:15:00,8.12,17851,Italy
538964,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-03-20 23:35:00,7.27,13274,UK
538965,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2026-03-15 20:18:00,6.05,15553,Germany
538966,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2026-03-22 10:02:00,1.18,16760,Germany
538967,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-03-05 05:45:00,9.15,12152,Italy
538968,71053,WHITE METAL LANTERN,28,2026-03-02 00:49:00,3.97,16243,Italy
538969,84406B,CREAM CUPID HEARTS COAT HANGER,19,2026-03-19 21:54:00,5.16,14563,UK
538970,22633,HAND WARMER UNION JACK,16,2026-03-15 21:09:00,8.74,16158,Spain
538971,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-03-09 22:31:00,5.38,15358,Italy
538972,71053,WHITE METAL LANTERN,15,2026-03-16 12:02:00,6.71,12922,Spain
538973,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,42,2026-03-08 11:03:00,3.4,16123,UK
538974,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-03-15 08:45:00,6.82,17399,France
538975,22633,HAND WARMER UNION JACK,6,2026-03-16 07:13:00,6.77,12423,Spain
538976,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27,2026-03-16 23:26:00,9.97,14901,Italy
538977,22633,HAND WARMER UNION JACK,38,2026-03-09 06:53:00,3.75,17780,UK
538978,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2026-03-08 17:30:00,3.75,16216,Spain
538979,22633,HAND WARMER UNION JACK,18,2026-03-09 01:17:00,7.7,13903,Spain
538980,22633,HAND WARMER UNION JACK,20,2026-03-01 13:02:00,2.84,16791,Germany
538981,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-03-16 19:50:00,1.64,12168,Spain
538982,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,39,2026-03-09 23:54:00,3.75,15257,Italy
538983,22633,HAND WARMER UNION JACK,15,2026-03-11 03:46:00,9.67,14270,Germany
538984,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2026-03-22 23:44:00,4.05,15702,Germany
538985,22633,HAND WARMER UNION JACK,47,2026-03-15 12:57:00,3.7,15093,UK
538986,22633,HAND WARMER UNION JACK,1,2026-03-06 23:40:00,5.53,17238,Spain
538987,71053,WHITE METAL LANTERN,19,2026-03-16 21:50:00,6.9,15216,Spain
538988,84406B,CREAM CUPID HEARTS COAT HANGER,16,2026-03-10 07:24:00,1.49,15772,France
538989,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-03-05 01:50:00,2.34,13773,Germany
538990,71053,WHITE METAL LANTERN,49,2026-03-23 21:19:00,1.78,14604,Germany
538991,84406B,CREAM CUPID HEARTS COAT HANGER,2,2026-03-13 05:49:00,7.78,14483,France
538992,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20,2026-03-24 03:01:00,7.3,13275,UK
538993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2026-03-21 14:58:00,2.98,16057,Spain
538994,22633,HAND WARMER UNION JACK,47,2026-03-17 06:35:00,1.96,13645,UK
538995,71053,WHITE METAL LANTERN,41,2026-03-19 17:31:00,7.15,15479,Italy
538996,84406B,CREAM CUPID HEARTS COAT HANGER,4,2026-03-03 07:28:00,7.75,12413,UK
538997,22633,HAND WARMER UNION JACK,30,2026-03-02 15:49:00,2.85,13753,Germany
538998,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,2026-03-18 23:51:00,8.63,15593,Germany
538999,22633,HAND WARMER UNION JACK,48,2026-03-21 08:25:00,4.13,17709,UK
539000,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-04-09 18:03:00,1.5,12967,France
539001,22633,HAND WARMER UNION JACK,23,2026-04-18 06:03:00,1.77,17096,France
539002,84406B,CREAM CUPID HEARTS COAT HANGER,16,2026-04-02 17:57:00,2.47,13101,Germany
539003,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2026-04-04 16:09:00,1.33,17684,Spain
539004,71053,WHITE METAL LANTERN,18,2026-04-05 23:58:00,7.95,14664,Germany
539005,22633,HAND WARMER UNION JACK,48,2026-04-11 01:13:00,9.82,13017,Italy
539006,71053,WHITE METAL LANTERN,17,2026-04-20 11:45:00,2.09,13928,Spain
539007,71053,WHITE METAL LANTERN,7,2026-04-02 20:52:00,7.51,13626,Italy
539008,71053,WHITE METAL LANTERN,17,2026-04-13 22:34:00,4.56,16407,France
539009,22633,HAND WARMER UNION JACK,1,2026-04-02 14:38:00,5.53,12070,Germany
539010,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2026-04-14 04:04:00,8.1,15932,Italy
539011,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2026-04-13 16:40:00,6.42,13437,Spain
539012,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-04-20 17:43:00,2.23,15154,UK
539013,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2026-04-25 12:59:00,2.44,12264,France
539014,22633,HAND WARMER UNION JACK,30,2026-04-22 20:16:00,2.68,15659,Italy
539015,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2026-04-19 14:52:00,9.49,12807,Germany
539016,84406B,CREAM CUPID HEARTS COAT HANGER,21,2026-04-10 22:02:00,8.02,13249,UK
539017,71053,WHITE METAL LANTERN,12,2026-04-06 14:45:00,1.85,16711,Germany
539018,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-04-04 09:52:00,2.04,12103,UK
539019,22633,HAND WARMER UNION JACK,41,2026-04-19 11:57:00,1.43,13576,France
539020,22633,HAND WARMER UNION JACK,13,2026-04-08 22:50:00,2.18,14214,UK
539021,71053,WHITE METAL LANTERN,21,2026-04-11 13:45:00,2.3,13347,Spain
539022,22633,HAND WARMER UNION JACK,48,2026-04-25 09:32:00,5.29,15161,Italy
539023,71053,WHITE METAL LANTERN,39,2026-04-11 18:16:00,4.46,16345,Italy
539024,84406B,CREAM CUPID HEARTS COAT HANGER,23,2026-04-12 22:34:00,6.37,14310,UK
539025,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-04-24 10:29:00,4.45,16448,Germany
539026,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-04-03 01:20:00,9.75,12839,Spain
539027,22633,HAND WARMER UNION JACK,11,2026-04-24 11:15:00,3.4,17665,UK
539028,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2026-04-13 00:04:00,2.01,15691,UK
539029,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2026-04-19 11:52:00,3.34,16833,Germany
539030,22633,HAND WARMER UNION JACK,40,2026-04-18 08:51:00,2.07,12752,Spain
539031,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2026-04-14 12:26:00,7.36,15463,Spain
539032,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-04-17 17:32:00,2.55,15921,Spain
539033,84406B,CREAM CUPID HEARTS COAT HANGER,22,2026-04-10 02:24:00,2.82,12792,Spain
539034,84406B,CREAM CUPID HEARTS COAT HANGER,22,2026-04-03 07:37:00,8.57,12660,Italy
539035,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-04-15 06:09:00,2.68,12368,UK
539036,85123A,WHITE HANGING HEART T-LIGHT HOLDER,41,2026-04-06 12:57:00,3.46,13684,Italy
539037,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-04-23 04:42:00,6.59,17952,UK
539038,22633,HAND WARMER UNION JACK,33,2026-04-04 06:29:00,1.43,15197,France
539039,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,2026-04-23 21:01:00,8.96,15006,France
539040,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2026-04-09 20:05:00,7.92,14512,Spain
539041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-04-24 16:37:00,5.81,16742,Italy
539042,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2026-04-24 17:05:00,6.01,13318,Germany
539043,22633,HAND WARMER UNION JACK,35,2026-04-05 15:09:00,5.25,12226,France
539044,84406B,CREAM CUPID HEARTS COAT HANGER,25,2026-04-01 22:32:00,4.03,14164,France
539045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-04-07 05:52:00,2.77,17271,Italy
539046,84406B,CREAM CUPID HEARTS COAT HANGER,25,2026-04-15 19:10:00,3.07,14377,UK
539047,71053,WHITE METAL LANTERN,1,2026-04-11 14:35:00,7.49,13642,France
539048,71053,WHITE METAL LANTERN,8,2026-04-24 10:52:00,8.45,15954,Spain
539049,71053,WHITE METAL LANTERN,22,2026-04-17 23:08:00,2.59,14089,Italy
539050,71053,WHITE METAL LANTERN,49,2026-04-24 04:13:00,1.33,17447,UK
539051,71053,WHITE METAL LANTERN,38,2026-04-22 04:46:00,2.42,15695,Spain
539052,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2026-04-19 09:03:00,1.99,16108,France
539053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2026-04-15 00:35:00,2.61,17101,Spain
539054,71053,WHITE METAL LANTERN,38,2026-04-05 11:06:00,5.16,14495,Germany
539055,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-04-02 14:17:00,1.59,13546,UK
539056,22633,HAND WARMER UNION JACK,29,2026-04-08 04:10:00,3.61,15318,Italy
539057,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,45,2026-04-17 05:38:00,1.98,15713,France
539058,22633,HAND WARMER UNION JACK,7,2026-04-24 05:22:00,4.71,16606,UK
539059,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,28,2026-04-17 08:29:00,2.24,14167,Italy
539060,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2026-04-17 09:57:00,2.03,12475,Germany
539061,22633,HAND WARMER UNION JACK,48,2026-04-20 03:12:00,4.44,16351,France
539062,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-04-02 01:37:00,5.06,13292,France
539063,84406B,CREAM CUPID HEARTS COAT HANGER,32,2026-04-26 03:57:00,2.19,12732,Spain
539064,71053,WHITE METAL LANTERN,17,2026-04-09 18:22:00,9.84,14087,Spain
539065,71053,WHITE METAL LANTERN,28,2026-04-24 00:07:00,8.84,12646,UK
539066,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2026-04-17 20:39:00,7.56,14795,Germany
539067,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2026-04-25 09:54:00,3.74,14651,Spain
539068,71053,WHITE METAL LANTERN,7,2026-04-12 19:29:00,7.39,13300,Germany
539069,71053,WHITE METAL LANTERN,4,2026-04-01 18:34:00,2.75,14936,Spain
539070,71053,WHITE METAL LANTERN,31,2026-04-05 10:53:00,9.56,16934,France
539071,84406B,CREAM CUPID HEARTS COAT HANGER,19,2026-04-11 11:15:00,2.78,17111,France
539072,71053,WHITE METAL LANTERN,4,2026-04-15 11:05:00,5.23,13675,Italy
539073,84406B,CREAM CUPID HEARTS COAT HANGER,50,2026-04-23 01:31:00,3.71,12827,Spain
539074,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2026-04-09 03:35:00,4.82,12583,UK
539075,84406B,CREAM CUPID HEARTS COAT HANGER,39,2026-04-17 09:32:00,9.14,17706,UK
539076,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42,2026-04-22 09:10:00,3.32,13848,Spain
539077,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2026-04-05 03:26:00,9.94,13645,UK
539078,22633,HAND WARMER UNION JACK,17,2026-04-07 20:37:00,9.58,17051,France
539079,71053,WHITE METAL LANTERN,24,2026-04-14 09:54:00,5.03,16184,Spain
539080,84406B,CREAM CUPID HEARTS COAT HANGER,33,2026-04-05 03:15:00,3.73,14775,France
539081,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2026-04-10 11:09:00,1.27,12719,Italy
539082,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-04-01 11:45:00,8.52,13747,Germany
539083,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,45,2026-04-06 16:52:00,2.41,13870,France
539084,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-04-18 17:31:00,4.55,15792,Germany
539085,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2026-04-17 10:42:00,1.18,13907,France
539086,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,2026-04-04 17:17:00,9.23,17413,UK
539087,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2026-04-03 05:41:00,6.58,13906,Spain
539088,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2026-04-18 14:16:00,1.05,14774,Italy
539089,84406B,CREAM CUPID HEARTS COAT HANGER,38,2026-04-02 17:08:00,2.07,14369,UK
539090,71053,WHITE METAL LANTERN,19,2026-04-12 05:27:00,3.32,12216,France
539091,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42,2026-04-03 08:09:00,9.06,12420,Germany
539092,84406B,CREAM CUPID HEARTS COAT HANGER,9,2026-04-23 18:38:00,4.31,12635,Italy
539093,84406B,CREAM CUPID HEARTS COAT HANGER,10,2026-04-17 12:11:00,1.69,14856,Italy
539094,71053,WHITE METAL LANTERN,25,2026-04-06 11:03:00,3.33,16819,Italy
539095,84406B,CREAM CUPID HEARTS COAT HANGER,19,2026-04-23 13:22:00,6.23,16534,Italy
539096,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,2026-04-20 13:42:00,8.61,14961,Italy
539097,22633,HAND WARMER UNION JACK,31,2026-04-05 13:15:00,6.12,15508,UK
539098,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2026-04-05 13:34:00,3.74,13372,UK
539099,71053,WHITE METAL LANTERN,42,2026-04-20 08:14:00,2.9,15836,Spain
539100,22633,HAND WARMER UNION JACK,47,2026-04-07 12:05:00,2.92,14645,Italy
539101,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-04-13 21:57:00,3.9,14326,France
539102,71053,WHITE METAL LANTERN,29,2026-04-02 00:31:00,3.92,17513,France
539103,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2026-04-13 09:42:00,4.93,15071,Germany
539104,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,2026-04-11 18:27:00,5.1,14480,UK
539105,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,2026-04-05 08:30:00,2.83,13985,UK
539106,22633,HAND WARMER UNION JACK,37,2026-04-14 00:51:00,7.61,17273,Germany
539107,22633,HAND WARMER UNION JACK,27,2026-04-08 08:17:00,2.06,17144,Spain
539108,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2026-04-25 02:48:00,4.98,13362,UK
539109,71053,WHITE METAL LANTERN,39,2026-04-25 23:17:00,7.8,12622,Spain
539110,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-04-23 00:14:00,3.85,13318,Germany
539111,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-04-15 16:47:00,7.88,15650,Italy
539112,71053,WHITE METAL LANTERN,8,2026-04-18 09:51:00,5.56,13238,Italy
539113,84406B,CREAM CUPID HEARTS COAT HANGER,36,2026-04-18 09:44:00,6.24,12846,UK
539114,84406B,CREAM CUPID HEARTS COAT HANGER,34,2026-04-21 07:26:00,5.61,13262,Germany
539115,71053,WHITE METAL LANTERN,39,2026-04-13 20:27:00,3.2,17535,France
539116,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,2026-04-26 03:58:00,1.27,16436,UK
